Restaurant_ID,Restaurant_Name,Cuisine,City,State,Rating,Delivery_Time_Min,Menu_Item,Category,Price,Calories,Is_Veg
R0185,BBQ Nation,American,Dallas,TX,5.0,28,Butter Chicken,Starter,$13.99,575,No
R0129,Pizza Palace,Italian,Chicago,IL,3.7,60,Taco,Main Course,$4.99,127,No
R0253,BBQ Nation,American,Los Angeles,CA,3.9,44,Taco,Dessert,$4.99,485,Yes
R0043,BBQ Nation,American,Chicago,IL,4.6,38,Sushi Roll,Dessert,$11.99,972,Yes
R0028,Dragon Wok,Chinese,Dallas,TX,3.7,56,Coffee,Dessert,$3.99,1179,No
R0173,Dragon Wok,Chinese,Seattle,WA,3.6,34,Burger,Snack,$8.99,970,No
R0140,Cafe Delight,Cafe,Boston,MA,4.1,39,Sushi Roll,Snack,$11.99,778,Yes
R0100,Burger Haven,American,Seattle,WA,4.0,43,Salad,Dessert,$7.49,179,No
R0214,Pizza Palace,Italian,Phoenix,AZ,3.8,48,Pizza,Main Course,$12.99,463,No
R0289,Mediterraneo,Mediterranean,Los Angeles,CA,4.7,51,Butter Chicken,Beverage,$13.99,672,No
R0086,Burger Haven,American,Seattle,WA,4.7,17,Sushi Roll,Starter,$11.99,119,No
R0208,Taco Fiesta,Mexican,New York,NY,4.3,26,Noodles,Dessert,$9.49,536,No
R0051,Spice Route,Indian,Dallas,TX,3.6,26,Pizza,Beverage,$12.99,837,Yes
R0070,Cafe Delight,Cafe,New York,NY,4.3,56,Sushi Roll,Main Course,$11.99,843,No
R0144,Sushi Express,Japanese,Dallas,TX,4.1,49,Salad,Starter,$7.49,519,Yes
R0163,Dragon Wok,Chinese,Phoenix,AZ,4.7,43,Pizza,Starter,$12.99,93,Yes
R0261,Taco Fiesta,Mexican,Los Angeles,CA,3.7,23,Taco,Dessert,$4.99,919,Yes
R0102,Healthy Bowl,Healthy,Chicago,IL,4.2,34,Butter Chicken,Dessert,$13.99,960,Yes
R0253,Dragon Wok,Chinese,Houston,TX,4.0,22,Salad,Main Course,$7.49,554,No
R0186,BBQ Nation,American,Houston,TX,4.4,41,Taco,Dessert,$4.99,668,No
R0215,BBQ Nation,American,Houston,TX,3.6,17,Burger,Beverage,$8.99,1026,Yes
R0282,Mediterraneo,Mediterranean,Los Angeles,CA,4.4,43,Salad,Starter,$7.49,404,No
R0212,Dragon Wok,Chinese,Houston,TX,4.2,22,Pasta,Starter,$10.49,811,No
R0170,Burger Haven,American,Dallas,TX,4.0,15,Pasta,Main Course,$10.49,1005,No
R0202,Taco Fiesta,Mexican,Boston,MA,4.1,53,Noodles,Main Course,$9.49,206,Yes
R0180,Pizza Palace,Italian,Los Angeles,CA,4.1,32,Coffee,Main Course,$3.99,916,No
R0300,Sushi Express,Japanese,Boston,MA,4.1,18,Taco,Dessert,$4.99,195,Yes
R0124,Taco Fiesta,Mexican,Phoenix,AZ,3.8,56,Burger,Starter,$8.99,605,No
R0016,Spice Route,Indian,Phoenix,AZ,3.6,55,Pizza,Dessert,$12.99,456,Yes
R0163,Taco Fiesta,Mexican,Seattle,WA,4.9,28,Butter Chicken,Beverage,$13.99,128,Yes
R0124,Sushi Express,Japanese,Chicago,IL,3.9,30,Pizza,Beverage,$12.99,264,Yes
R0035,Healthy Bowl,Healthy,Seattle,WA,4.3,39,Pizza,Starter,$12.99,319,Yes
R0237,Sushi Express,Japanese,Boston,MA,4.2,49,Pizza,Dessert,$12.99,622,No
R0231,Pizza Palace,Italian,New York,NY,4.8,51,Paneer Tikka,Starter,$10.99,1068,Yes
R0136,Taco Fiesta,Mexican,Boston,MA,4.9,57,Sushi Roll,Starter,$11.99,461,No
R0103,Taco Fiesta,Mexican,Houston,TX,4.6,53,Burger,Snack,$8.99,151,Yes
R0150,Dragon Wok,Chinese,Chicago,IL,4.6,59,Taco,Snack,$4.99,329,Yes
R0191,Cafe Delight,Cafe,Los Angeles,CA,3.5,32,Noodles,Dessert,$9.49,593,No
R0232,Mediterraneo,Mediterranean,Houston,TX,4.4,19,Coffee,Dessert,$3.99,1174,No
R0262,Burger Haven,American,Seattle,WA,4.1,50,Pizza,Dessert,$12.99,981,No
R0233,Mediterraneo,Mediterranean,Houston,TX,4.3,19,Coffee,Dessert,$3.99,1140,No
R0097,Mediterraneo,Mediterranean,Los Angeles,CA,4.4,20,Pizza,Main Course,$12.99,926,Yes
R0150,Pizza Palace,Italian,Houston,TX,3.6,30,Sushi Roll,Starter,$11.99,731,No
R0282,Burger Haven,American,Chicago,IL,3.9,25,Butter Chicken,Starter,$13.99,431,No
R0111,BBQ Nation,American,Houston,TX,4.2,20,Taco,Dessert,$4.99,1177,Yes
R0247,Taco Fiesta,Mexican,Houston,TX,4.2,42,Paneer Tikka,Beverage,$10.99,252,No
R0078,Pizza Palace,Italian,Los Angeles,CA,4.3,49,Butter Chicken,Main Course,$13.99,178,No
R0146,Sushi Express,Japanese,Phoenix,AZ,5.0,60,Butter Chicken,Snack,$13.99,789,Yes
R0284,Cafe Delight,Cafe,Boston,MA,3.5,56,Paneer Tikka,Starter,$10.99,897,Yes
R0253,Cafe Delight,Cafe,Los Angeles,CA,4.8,17,Salad,Beverage,$7.49,313,No
R0094,Pizza Palace,Italian,Chicago,IL,4.4,39,Noodles,Starter,$9.49,1134,Yes
R0203,Cafe Delight,Cafe,Houston,TX,4.4,39,Pizza,Dessert,$12.99,358,Yes
